tour_date,tour_year,tour_month,num_guides,headcount
2019-04-23,2019,4,2,71.0
2019-04-24,2019,4,2,79.0
2019-04-25,2019,4,2,72.0
2019-04-26,2019,4,2,64.0
2019-04-27,2019,4,2,54.0
2019-04-28,2019,4,1,36.0
2019-04-29,2019,4,2,45.0
2019-04-30,2019,4,2,68.0
2019-05-01,2019,5,2,68.0
2019-05-02,2019,5,2,31.0
2019-05-03,2019,5,2,53.0
2019-05-04,2019,5,2,53.0
2019-05-05,2019,5,1,15.0
2019-05-06,2019,5,2,69.0
2019-05-07,2019,5,2,51.0
2019-05-08,2019,5,1,39.0
2019-05-09,2019,5,2,52.0
2019-05-10,2019,5,2,53.0
2019-05-11,2019,5,2,73.0
2019-05-12,2019,5,2,52.0
2019-05-13,2019,5,1,33.0
2019-05-14,2019,5,2,65.0
2019-05-15,2019,5,2,76.0
2019-05-16,2019,5,2,63.0
2019-05-17,2019,5,2,46.0
2019-05-18,2019,5,2,86.0
2019-05-19,2019,5,2,59.0
2019-05-20,2019,5,3,115.0
2019-05-21,2019,5,2,49.0
2019-05-22,2019,5,2,51.0
2019-05-23,2019,5,2,47.0
2019-05-24,2019,5,2,64.0
2019-05-25,2019,5,2,73.0
2019-05-26,2019,5,2,44.0
2019-05-27,2019,5,2,64.0
2019-05-28,2019,5,2,75.0
2019-05-29,2019,5,2,82.0
2019-05-30,2019,5,2,66.0
2019-05-31,2019,5,1,39.0
2019-06-01,2019,6,2,76.0
2019-06-02,2019,6,1,36.0
2019-06-03,2019,6,2,63.0
2019-06-04,2019,6,1,20.0
2019-06-05,2019,6,1,10.0
2019-06-06,2019,6,2,48.0
2019-06-07,2019,6,1,23.0
2019-06-08,2019,6,2,73.0
2019-06-09,2019,6,2,56.0
2019-06-10,2019,6,1,37.0
2019-06-11,2019,6,2,48.0
2019-06-12,2019,6,2,49.0
2019-06-13,2019,6,2,57.0
2019-06-14,2019,6,2,54.0
2019-06-15,2019,6,2,43.0
2019-06-16,2019,6,1,12.0
2019-06-17,2019,6,1,24.0
2019-06-18,2019,6,2,48.0
2019-06-19,2019,6,1,36.0
2019-06-20,2019,6,2,55.0
2019-06-21,2019,6,2,58.0
2019-06-22,2019,6,1,39.0
2019-06-23,2019,6,1,29.0
2019-06-24,2019,6,2,40.0
2019-06-25,2019,6,2,48.0
2019-06-26,2019,6,2,40.0
2019-06-27,2019,6,2,64.0
2019-06-28,2019,6,2,74.0
2019-06-29,2019,6,2,66.0
2019-06-30,2019,6,2,54.0
2019-07-01,2019,7,2,47.0
2019-07-02,2019,7,2,89.0
2019-07-03,2019,7,2,66.0
2019-07-04,2019,7,2,43.0
2019-07-05,2019,7,2,79.0
2019-07-06,2019,7,2,78.0
2019-07-07,2019,7,2,50.0
2019-07-08,2019,7,2,93.0
2019-07-09,2019,7,2,74.0
2019-07-10,2019,7,2,87.0
2019-07-11,2019,7,2,68.0
2019-07-12,2019,7,2,68.0
2019-07-13,2019,7,2,58.0
2019-07-14,2019,7,2,58.0
2019-07-15,2019,7,2,63.0
2019-07-16,2019,7,2,78.0
2019-07-17,2019,7,2,59.0
2019-07-18,2019,7,2,67.0
2019-07-19,2019,7,2,60.0
2019-07-20,2019,7,2,50.0
2019-07-21,2019,7,2,40.0
2019-07-22,2019,7,2,80.0
2019-07-23,2019,7,2,43.0
2019-07-24,2019,7,2,65.0
2019-07-25,2019,7,2,65.0
2019-07-26,2019,7,2,72.0
2019-07-27,2019,7,1,33.0
2019-07-28,2019,7,2,59.0
2019-07-29,2019,7,2,66.0
2019-07-30,2019,7,1,42.0
2019-07-31,2019,7,2,52.0
2019-08-01,2019,8,2,53.0
2019-08-02,2019,8,2,57.0
2019-08-03,2019,8,1,34.0
2019-08-04,2019,8,1,32.0
2019-08-05,2019,8,2,65.0
2019-08-06,2019,8,2,80.0
2019-08-07,2019,8,1,38.0
2019-08-08,2019,8,2,77.0
2019-08-09,2019,8,2,72.0
2019-08-10,2019,8,2,67.0
2019-08-11,2019,8,2,53.0
2019-08-12,2019,8,2,90.0
2019-08-13,2019,8,2,53.0
2019-08-14,2019,8,2,61.0
2019-08-15,2019,8,2,75.0
2019-08-16,2019,8,2,62.0
2019-08-17,2019,8,2,62.0
2019-08-18,2019,8,2,65.0
2019-08-19,2019,8,2,72.0
2019-08-20,2019,8,2,63.0
2019-08-21,2019,8,2,68.0
2019-08-22,2019,8,2,57.0
2019-08-23,2019,8,2,48.0
2019-08-24,2019,8,2,75.0
2019-08-25,2019,8,2,44.0
2019-08-26,2019,8,2,45.0
2019-08-27,2019,8,2,54.0
2019-08-28,2019,8,2,53.0
2019-08-29,2019,8,1,31.0
2019-08-30,2019,8,1,30.0
2019-08-31,2019,8,2,47.0
2019-09-01,2019,9,2,44.0
2019-09-02,2019,9,2,59.0
